Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Tapu Durumu,Site İçerisinde,Banyo Sayısı,Balkon Durumu,Fiyat Durumu,Price,Eşya Durumu,Müstakil mi,Dublex mi,Çatı katı mı,İlçe,Mahalle
75,80,3.0,25,0,5.0,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,0,Genel Fiyat,22000.0,0,0,0,0, Üsküdar,Ahmediye Mahallesi
140,150,4.0,25,2,2.0,Kombi Doğalgaz,Boş,Müstakil Tapulu,Hayır,1,0,Genel Fiyat,25000.0,0,0,0,0, Silivri,Cumhuriyet Mahallesi
110,120,4.0,25,2,4.0,Kombi Doğalgaz,Boş,Hisseli Tapu,Hayır,2,0,Genel Fiyat,36000.0,0,0,0,0, Beykoz,Ortaçeşme Mahallesi
150,170,4.0,25,4,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,2,1,Genel Fiyat,25000.0,0,0,0,0, Avcılar,Cihangir Mahallesi
105,118,4.0,7,10,12.0,Merkezi Doğalgaz,Boş,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,26500.0,0,0,0,0, Esenyurt,Barbaros Hayrettin Paşa Mahallesi
75,90,3.0,7,4,9.0,Merkezi (Pay Ölçer),Boş,Kat İrtifakı,Evet,1,0,Genel Fiyat,18500.0,0,0,0,0, Esenyurt,Barbaros Hayrettin Paşa Mahallesi
75,100,3.0,0,1,14.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,20000.0,0,0,0,0, Başakşehir,Güvercintepe Mahallesi
40,50,2.0,17,3,4.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,0,Genel Fiyat,20000.0,0,0,0,0, Kağıthane,Emniyet Evleri Mahallesi
70,85,3.0,13,0,3.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,0,Genel Fiyat,26500.0,0,0,0,0, Üsküdar,Ferah Mahallesi
65,75,3.0,25,0,5.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,0,Genel Fiyat,16500.0,0,0,0,0, Bayrampaşa,Yıldırım Mahallesi
85,90,3.0,7,1,2.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,22000.0,0,0,0,0, Avcılar,Cihangir Mahallesi
170,220,5.0,25,5,5.0,Kombi Doğalgaz,Boş,Arsa Tapulu,Hayır,2,0,Genel Fiyat,42000.0,0,0,0,0, Kartal,Cevizli Mahallesi
90,100,3.0,13,1,4.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,0,Genel Fiyat,25000.0,0,0,0,0, Kağıthane,Hürriyet Mahallesi
25,30,1.0,2,0,6.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,0,Genel Fiyat,18500.0,1,0,0,0, Şişli,Fulya Mahallesi
85,90,3.0,25,3,3.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,0,Genel Fiyat,28000.0,1,0,0,0, Şişli,İnönü Mahallesi
90,100,3.0,7,0,4.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,0,Genel Fiyat,30000.0,1,0,0,0, Şişli,19 Mayıs Mahallesi
50,60,1.0,0,2,8.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,30000.0,0,0,0,0, Eyüpsultan,Çırçır Mahallesi
