Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Tapu Durumu,Site İçerisinde,Banyo Sayısı,Balkon Durumu,Fiyat Durumu,Price,Eşya Durumu,Müstakil mi,Dublex mi,Çatı katı mı,İlçe,Mahalle
85,95,3.0,7,8,27.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,2,0,Genel Fiyat,22000.0,0,0,0,0, Esenyurt,Yeşilkent Mahallesi
35,55,1.0,3,7,24.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,30000.0,0,0,0,0, Kadıköy,Fikirtepe Mahallesi
55,70,2.0,7,4,9.0,Yerden Isıtma,Kiracı Oturuyor,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,26000.0,1,0,0,0, Pendik,Yenişehir Mahallesi
70,80,3.0,3,4,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,28000.0,0,0,0,0, Küçükçekmece,Yeşilova Mahallesi
140,186,4.0,7,5,12.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,2,0,Genel Fiyat,57500.0,0,0,0,0, Sancaktepe,Abdurrahmangazi Mahallesi
50,60,1.0,7,7,11.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,22000.0,0,0,0,0, Sancaktepe,Abdurrahmangazi Mahallesi
65,75,2.0,4,0,5.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,0,Genel Fiyat,14000.0,0,0,0,0, Sultangazi,Habibler Mahallesi
65,75,3.0,2,0,5.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,18000.0,0,0,0,0, Beylikdüzü,Kavaklı Mahallesi
110,120,4.0,25,2,3.0,Merkezi Doğalgaz,Boş,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,60000.0,0,0,0,0, Kadıköy,Koşuyolu Mahallesi
125,135,4.0,17,1,3.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,2,0,Genel Fiyat,40000.0,0,0,0,0, Ümraniye,Esenevler Mahallesi
80,90,3.0,7,1,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,40000.0,1,0,0,0, Ümraniye,Çakmak Mahallesi
41,50,1.0,7,11,12.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,20000.0,1,0,0,0, Tuzla,Aydıntepe Mahallesi
100,110,4.0,17,0,5.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,0,Genel Fiyat,28000.0,1,0,0,0, Bahçelievler,Şirinevler Mahallesi
65,75,3.0,7,1,5.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,26000.0,1,0,0,0, Ataşehir,Kayışdağı Mahallesi
80,100,3.0,25,0,5.0,Kombi Doğalgaz,Boş,Arsa Tapulu,Hayır,1,0,Genel Fiyat,17500.0,0,0,0,0, Avcılar,Mustafa Kemal Paşa Mahallesi
33,41,1.0,0,2,7.0,VRV,Boş,Bilinmiyor,Hayır,1,0,Genel Fiyat,12000.0,0,0,0,0, Esenyurt,Ardıçlı Mahallesi
70,75,3.0,25,0,5.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,1,Genel Fiyat,30000.0,0,0,0,0, Kadıköy,Rasimpaşa Mahallesi
85,100,4.0,0,5,15.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Hayır,2,0,Genel Fiyat,95000.0,0,0,0,0, Kadıköy,Caddebostan Mahallesi
130,177,4.0,0,4,4.0,Yerden Isıtma,Boş,Tapu Kaydı Yok,Evet,2,0,Genel Fiyat,60000.0,0,0,0,0, Başakşehir,Bahçeşehir 2. Kısım Mahallesi
65,70,2.0,4,0,13.0,Merkezi (Pay Ölçer),Boş,Tapu Kaydı Yok,Evet,1,0,Genel Fiyat,17000.0,0,0,0,0, Başakşehir,Bahçeşehir 2. Kısım Mahallesi
65,80,3.0,25,1,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,2,0,Genel Fiyat,26500.0,0,0,0,0, Üsküdar,Salacak Mahallesi
70,85,3.0,1,0,5.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,32000.0,1,0,0,0, Kartal,Atalar Mahallesi
55,75,2.0,25,4,8.0,Merkezi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,21000.0,0,0,0,0, Beylikdüzü,Cumhuriyet Mahallesi
55,70,3.0,7,0,5.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,14000.0,0,0,0,0, Eyüpsultan,Karadolap Mahallesi
180,200,5.0,25,1,3.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,2,1,Genel Fiyat,69000.0,0,0,0,0, Bakırköy,Şenlikköy Mahallesi
120,140,4.0,17,4,4.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,1,Genel Fiyat,40000.0,0,0,0,0, Güngören,Mareşal Çakmak Mahallesi
92,105,4.0,13,2,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,2,0,Genel Fiyat,23000.0,0,0,0,0, Tuzla,Aydınlı Mahallesi
48,60,2.0,7,2,17.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,24000.0,1,0,0,0, Pendik,Yeni Mahallesi
146,190,6.0,0,9,9.0,Yerden Isıtma,Boş,Kat Mülkiyeti,Hayır,2,0,Genel Fiyat,58000.0,0,0,0,0, Pendik,Yeni Mahallesi
75,80,3.0,17,0,4.0,Doğalgaz Sobalı,Boş,Kooperatiften Tapu,Hayır,1,0,Genel Fiyat,15000.0,0,0,0,0, Ümraniye,Cemil Meriç Mahallesi
85,90,3.0,7,0,6.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,0,Genel Fiyat,13500.0,1,0,0,0, Esenyurt,Pınar Mahallesi
45,55,2.0,0,5,5.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,22000.0,0,0,0,0, Tuzla,Aydınlı Mahallesi
100,105,3.0,25,1,4.0,Kombi Doğalgaz,Boş,Kooperatiften Tapu,Hayır,1,1,Genel Fiyat,20000.0,0,0,0,0, Sultangazi,Cebeci Mahallesi
50,60,1.0,7,18,25.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,12000.0,0,0,0,0, Esenyurt,Yeşilkent Mahallesi
90,100,3.0,25,4,4.0,Kombi Doğalgaz,Boş,Tapu Kaydı Yok,Hayır,1,1,Genel Fiyat,20000.0,0,0,0,0, Avcılar,Gümüşpala Mahallesi
85,90,3.0,17,1,5.0,Kombi Doğalgaz,Boş,Kooperatiften Tapu,Hayır,1,1,Genel Fiyat,18000.0,0,0,0,0, Sultangazi,Cebeci Mahallesi
45,48,2.0,7,1,5.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,18000.0,0,0,0,0, Başakşehir,Kayabaşı Mahallesi
32,46,1.0,13,8,16.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,20000.0,0,0,0,0, Küçükçekmece,Atakent Mahallesi
85,90,3.0,25,5,5.0,Kombi Doğalgaz,Kiracı Oturuyor,Kat İrtifakı,Hayır,1,0,Genel Fiyat,21500.0,0,0,0,0, Gaziosmanpaşa,Hürriyet Mahallesi
48,56,2.0,0,1,5.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,22000.0,0,0,0,0, Küçükçekmece,İstasyon Mahallesi
56,75,3.0,13,5,12.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,30000.0,0,0,0,0, Küçükçekmece,Atakent Mahallesi
68,74,2.0,7,10,17.0,Merkezi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,35000.0,0,0,0,0, Küçükçekmece,Atakent Mahallesi
75,80,3.0,4,2,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,12900.0,0,0,0,0, Esenyurt,Yenikent Mahallesi
80,90,2.0,0,2,6.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,28450.0,1,0,0,0, Avcılar,Denizköşkler Mahallesi
65,75,3.0,25,2,3.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,1,Genel Fiyat,15000.0,0,0,0,0, Fatih,Sümbül Efendi Mahallesi
130,135,4.0,13,5,12.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,2,0,Genel Fiyat,47000.0,0,0,0,0, Çekmeköy,Nişantepe Mahallesi
86,110,3.0,13,8,9.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Evet,2,0,Genel Fiyat,30000.0,0,0,0,0, Pendik,Yenişehir Mahallesi
40,50,2.0,0,0,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,30000.0,0,0,0,0, Maltepe,Küçükyalı Mahallesi
90,100,3.0,25,3,5.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,0,Genel Fiyat,30000.0,0,0,0,0, Bahçelievler,Siyavuşpaşa Mahallesi
32,45,1.0,7,6,10.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,10000.0,0,0,0,0, Esenyurt,Zafer Mahallesi
70,85,2.0,7,12,15.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,19000.0,1,0,0,0, Esenyurt,Zafer Mahallesi
110,120,4.0,25,1,3.0,Kombi Doğalgaz,Boş,Hisseli Tapu,Hayır,1,0,Genel Fiyat,30000.0,0,0,0,0, Ataşehir,İçerenköy Mahallesi
115,125,3.0,17,4,6.0,Kombi Doğalgaz,Boş,Tapu Kaydı Yok,Hayır,2,1,Genel Fiyat,42000.0,0,0,0,0, Beykoz,Kavacık Mahallesi
55,60,2.0,7,6,7.0,Klimalı,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,49000.0,1,0,0,0, Şişli,Harbiye Mahallesi
75,80,3.0,7,1,5.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,41500.0,1,0,0,0, Şişli,19 Mayıs Mahallesi
40,66,1.0,7,6,8.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,23000.0,1,0,0,0, Pendik,Yenişehir Mahallesi
80,90,3.0,13,1,3.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,30000.0,0,0,0,0, Küçükçekmece,Kartaltepe Mahallesi
110,120,4.0,25,3,4.0,Kombi Doğalgaz,Kiracı Oturuyor,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,22000.0,0,0,0,0, Avcılar,Ambarlı Mahallesi
70,85,3.0,17,0,5.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,1,Genel Fiyat,17000.0,0,0,0,0, Bahçelievler,Soğanlı Mahallesi
100,115,3.0,4,1,6.0,Kombi Doğalgaz,Boş,Tapu Kaydı Yok,Hayır,1,0,Genel Fiyat,15000.0,0,0,0,0, Esenyurt,Fatih Mahallesi
80,90,3.0,2,3,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,30000.0,0,0,0,0, Küçükçekmece,Cumhuriyet Mahallesi
100,110,3.0,17,4,5.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,0,Genel Fiyat,18000.0,0,0,0,0, Avcılar,Cihangir Mahallesi
110,130,3.0,13,0,3.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,55000.0,0,0,0,0, Sarıyer,Büyükdere Mahallesi
55,77,2.0,0,4,5.0,Merkezi (Pay Ölçer),Boş,Tapu Kaydı Yok,Evet,1,0,Genel Fiyat,30000.0,0,0,0,0, Küçükçekmece,Halkalı Merkez Mahallesi
90,100,3.0,17,3,5.0,Kombi Doğalgaz,Boş,Kıbrıs Tapulu,Hayır,1,1,Genel Fiyat,16500.0,0,0,0,0, Sultangazi,Esentepe Mahallesi
60,65,2.0,7,0,5.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,15500.0,0,0,0,0, Çekmeköy,Kirazlıdere Mahallesi
80,110,3.0,17,-1,7.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,29500.0,0,0,0,0, Ümraniye,Tatlısu Mahallesi
90,100,3.0,25,3,5.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,0,Genel Fiyat,25000.0,1,0,0,0, Avcılar,Gümüşpala Mahallesi
55,60,2.0,13,5,5.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,0,Genel Fiyat,17000.0,0,0,0,0, Beylikdüzü,Dereağzı Mahallesi
70,80,3.0,25,0,4.0,Kombi Doğalgaz,Boş,Hisseli Tapu,Hayır,1,1,Genel Fiyat,14000.0,0,0,0,0, Bahçelievler,Zafer Mahallesi
60,65,2.0,25,0,5.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,12000.0,0,0,0,0, Fatih,Yedikule Mahallesi
70,90,2.0,2,1,1.0,Sobalı,Boş,Tapu Kaydı Yok,Hayır,1,0,Genel Fiyat,16000.0,1,1,0,0, Başakşehir,Güvercintepe Mahallesi
90,110,3.0,25,6,6.0,Kombi Doğalgaz,Boş,Hisseli Tapu,Hayır,1,0,Genel Fiyat,22000.0,1,0,0,0, Küçükçekmece,Yeşilova Mahallesi
166,167,5.0,25,15,15.0,Merkezi Doğalgaz,Kiracı Oturuyor,Kat Mülkiyeti,Evet,3,0,Genel Fiyat,40000.0,0,0,0,0, Küçükçekmece,Atakent Mahallesi
100,120,3.0,7,2,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,2,0,Genel Fiyat,16000.0,0,0,0,0, Esenyurt,Mehterçeşme Mahallesi
100,120,3.0,7,3,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,2,0,Genel Fiyat,22000.0,0,0,0,0, Esenyurt,Mehmet Akif Ersoy Mahallesi
80,90,3.0,7,0,5.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,14500.0,0,0,0,0, Esenyurt,Talatpaşa Mahallesi
110,120,3.0,13,27,30.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Evet,2,0,Genel Fiyat,23000.0,1,0,0,0, Esenyurt,Akevler Mahallesi
100,105,3.0,25,4,4.0,Kombi Doğalgaz,Boş,Kooperatiften Tapu,Hayır,1,1,Genel Fiyat,18000.0,0,0,0,0, Sultangazi,İsmetpaşa Mahallesi
85,90,3.0,7,4,6.0,Merkezi Doğalgaz,Boş,Yabancıdan,Hayır,1,1,Genel Fiyat,12000.0,0,0,0,0, Esenyurt,Talatpaşa Mahallesi
73,100,3.0,0,4,9.0,Merkezi (Pay Ölçer),Boş,Kat İrtifakı,Evet,1,0,Genel Fiyat,24000.0,0,0,0,0, Tuzla,Yayla Mahallesi
50,65,2.0,0,2,10.0,Merkezi (Pay Ölçer),Boş,Kat İrtifakı,Evet,1,0,Genel Fiyat,22000.0,0,0,0,0, Tuzla,Yayla Mahallesi
50,60,3.0,7,0,5.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,1,Genel Fiyat,18000.0,0,0,0,0, Kağıthane,Sultan Selim Mahallesi
100,110,3.0,17,5,3.0,Kombi Doğalgaz,Boş,Arsa Tapulu,Hayır,1,0,Genel Fiyat,15000.0,0,0,0,1, Arnavutköy,Boğazköy İstiklal Mahallesi
95,105,3.0,7,4,5.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,21500.0,0,0,0,0, Arnavutköy,Taşoluk Mahallesi
85,100,3.0,7,0,5.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,11000.0,0,0,0,0, Esenyurt,İnönü Mahallesi
135,187,4.0,7,11,24.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,2,0,Genel Fiyat,54000.0,0,0,0,0, Gaziosmanpaşa,Karadeniz Mahallesi
48,60,2.0,3,9,15.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,22000.0,0,0,0,0, Başakşehir,Başakşehir Mahallesi
82,115,3.0,4,5,7.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,2,0,Genel Fiyat,40000.0,0,0,0,0, Pendik,Yenişehir Mahallesi
95,115,3.0,25,2,4.0,Elektrikli Radyatör,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,22000.0,1,0,0,0, Fatih,Silivrikapı Mahallesi
70,75,2.0,0,11,12.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,30000.0,0,0,0,0, Eyüpsultan,Sakarya Mahallesi
75,80,3.0,4,0,7.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,30000.0,0,0,0,0, Eyüpsultan,Alibeyköy Mahallesi
53,73,3.0,7,-2,5.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,30000.0,0,0,0,0, Kağıthane,Çeliktepe Mahallesi
90,110,3.0,25,5,5.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,17500.0,0,0,0,0, Küçükçekmece,Yeşilova Mahallesi
90,95,3.0,17,4,5.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,20000.0,0,0,0,0, Arnavutköy,Hadımköy Mahallesi
75,85,3.0,0,2,7.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,32000.0,0,0,0,0, Ataşehir,Esatpaşa Mahallesi
120,160,4.0,7,30,30.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,2,0,Genel Fiyat,54500.0,0,0,0,0, Kartal,Karlıktepe Mahallesi
120,140,4.0,13,4,12.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Evet,2,0,Genel Fiyat,60000.0,0,0,0,0, Küçükçekmece,Atakent Mahallesi
70,75,2.0,17,3,3.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,19000.0,0,0,0,0, Kağıthane,Çağlayan Mahallesi
100,110,3.0,17,2,5.0,Kombi Doğalgaz,Boş,Arsa Tapulu,Hayır,1,0,Genel Fiyat,23000.0,0,0,0,0, Kağıthane,Harmantepe Mahallesi
125,150,4.0,25,1,9.0,Merkezi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,40000.0,0,0,0,0, Kadıköy,19 Mayıs Mahallesi
80,95,4.0,25,5,10.0,Merkezi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,0,Genel Fiyat,24000.0,0,0,0,0, Kartal,Esentepe Mahallesi
90,110,4.0,25,1,7.0,Kombi Doğalgaz,Boş,Arsa Tapulu,Hayır,1,0,Genel Fiyat,30000.0,0,0,0,0, Maltepe,Altayçeşme Mahallesi
70,80,3.0,7,0,5.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,38000.0,0,0,0,0, Maltepe,Altayçeşme Mahallesi
75,110,2.0,13,0,4.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,57000.0,1,0,0,0, Çekmeköy,Merkez Mahallesi
45,50,1.0,7,9,20.0,Merkezi (Pay Ölçer),Boş,Bilinmiyor,Hayır,1,0,Genel Fiyat,38000.0,0,0,0,0, Sarıyer,Maslak Mahallesi
75,98,2.0,4,2,60.0,Merkezi Doğalgaz,Boş,Bilinmiyor,Hayır,1,0,Genel Fiyat,52000.0,0,0,0,0, Sarıyer,Huzur Mahallesi
50,57,1.0,4,2,60.0,Merkezi Doğalgaz,Boş,Bilinmiyor,Hayır,1,0,Genel Fiyat,38500.0,1,0,0,0, Sarıyer,Huzur Mahallesi
65,85,2.0,7,9,20.0,Merkezi (Pay Ölçer),Boş,Bilinmiyor,Hayır,1,0,Genel Fiyat,50000.0,0,0,0,0, Sarıyer,Maslak Mahallesi
60,75,3.0,13,5,11.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,17000.0,0,0,0,0, Tuzla,Mimar Sinan Mahallesi
76,85,3.0,0,8,11.0,Merkezi (Pay Ölçer),Boş,Kat İrtifakı,Evet,1,0,Genel Fiyat,26500.0,0,0,0,0, Tuzla,Yayla Mahallesi
69,77,3.0,0,2,10.0,Merkezi (Pay Ölçer),Boş,Kat İrtifakı,Evet,1,0,Genel Fiyat,26500.0,0,0,0,0, Tuzla,Yayla Mahallesi
76,85,3.0,0,7,11.0,Merkezi (Pay Ölçer),Boş,Kat İrtifakı,Evet,1,0,Genel Fiyat,27500.0,0,0,0,0, Tuzla,Yayla Mahallesi
90,95,3.0,17,3,4.0,Kombi Doğalgaz,Boş,Kooperatiften Tapu,Hayır,1,1,Genel Fiyat,25000.0,0,0,0,0, Ümraniye,Atatürk Mahallesi
80,90,3.0,17,2,5.0,Kombi Doğalgaz,Boş,Kooperatiften Tapu,Hayır,1,1,Genel Fiyat,23000.0,0,0,0,0, Ümraniye,Çamlık Mahallesi
70,75,2.0,7,0,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,12500.0,0,0,0,0, Küçükçekmece,Mehmet Akif Mahallesi
75,85,3.0,25,4,4.0,Isıtma Yok,Boş,Kat İrtifakı,Hayır,1,0,Genel Fiyat,8000.0,0,0,0,0, Avcılar,Denizköşkler Mahallesi
100,110,3.0,4,1,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,2,0,Genel Fiyat,14000.0,0,0,0,0, Esenyurt,Barbaros Hayrettin Paşa Mahallesi
95,100,3.0,7,0,5.0,Kombi Doğalgaz,Boş,Kooperatiften Tapu,Hayır,2,0,Genel Fiyat,28000.0,0,0,0,0, Sultangazi,Uğur Mumcu Mahallesi
40,48,2.0,13,-1,3.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,16500.0,0,0,0,0, Başakşehir,Kayabaşı Mahallesi
100,110,4.0,25,0,4.0,Kombi Doğalgaz,Boş,Arsa Tapulu,Hayır,1,0,Genel Fiyat,20000.0,0,0,0,0, Şişli,Halide Edip Adıvar Mahallesi
50,60,2.0,13,0,4.0,Kombi Doğalgaz,Kiracı Oturuyor,Kat İrtifakı,Hayır,1,0,Genel Fiyat,25000.0,1,0,0,0, Ümraniye,Mehmet Akif Mahallesi
80,95,3.0,7,3,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,2,0,Genel Fiyat,25000.0,0,0,0,0, Sancaktepe,Kemal Türkler Mahallesi
95,100,3.0,0,3,7.0,Yerden Isıtma,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,50000.0,0,0,0,0, Üsküdar,Çengelköy Mahallesi
28,45,1.0,13,5,4.0,Merkezi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,0,Genel Fiyat,19500.0,1,0,0,1, Kağıthane,Seyrantepe Mahallesi
120,135,4.0,25,1,5.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,2,0,Genel Fiyat,45000.0,0,0,0,0, Ataşehir,Küçükbakkalköy Mahallesi
110,125,4.0,17,6,7.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Evet,1,0,Genel Fiyat,40000.0,0,0,0,0, Ataşehir,Küçükbakkalköy Mahallesi
50,60,2.0,25,0,5.0,Klimalı,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,27000.0,1,0,0,0, Şişli,Teşvikiye Mahallesi
85,120,4.0,2,3,13.0,Yerden Isıtma,Boş,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,36000.0,0,0,0,0, Kartal,Hürriyet Mahallesi
46,98,2.0,0,0,6.0,Merkezi (Pay Ölçer),Boş,Tapu Kaydı Yok,Evet,1,0,Genel Fiyat,50000.0,0,0,0,0, Çekmeköy,Kirazlıdere Mahallesi
108,118,3.0,25,0,5.0,Kombi Doğalgaz,Boş,Kooperatiften Tapu,Evet,1,0,Genel Fiyat,38000.0,0,0,0,0, Beykoz,Göztepe Mahallesi
62,75,2.0,7,18,50.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,1,1,Genel Fiyat,80000.0,1,0,0,0, Üsküdar,Ünalan Mahallesi
95,120,4.0,25,4,4.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,2,0,Genel Fiyat,28000.0,0,0,0,0, Üsküdar,İcadiye Mahallesi
90,100,3.0,1,4,4.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,0,Genel Fiyat,33500.0,0,0,0,0, Ümraniye,Site Mahallesi
75,80,3.0,7,5,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,18500.0,0,0,0,1, Sultangazi,Yunus Emre Mahallesi
90,100,3.0,1,1,4.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,0,Genel Fiyat,20000.0,0,0,0,0, Beylikdüzü,Yakuplu Mahallesi
55,60,2.0,4,0,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,15000.0,0,0,0,0, Esenyurt,Mehmet Akif Ersoy Mahallesi
270,325,5.0,7,5,7.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Evet,3,0,Genel Fiyat,85000.0,0,0,0,0, Beylikdüzü,Adnan Kahveci Mahallesi
80,100,3.0,7,28,30.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,13000.0,0,0,0,0, Esenyurt,Necip Fazıl Kısakürek Mahallesi
127,156,4.0,17,6,8.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,2,0,Genel Fiyat,68000.0,1,0,0,0, Ataşehir,Atatürk Mahallesi
110,120,3.0,25,3,3.0,Kombi Doğalgaz,Boş,Arsa Tapulu,Hayır,1,0,Genel Fiyat,24000.0,0,0,0,0, Beykoz,Çamlıbahçe Mahallesi
80,85,3.0,7,3,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,33000.0,0,0,0,0, Ümraniye,Çakmak Mahallesi
78,85,3.0,7,0,5.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,25000.0,0,0,0,0, Üsküdar,Bulgurlu Mahallesi
70,85,3.0,0,2,5.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,35000.0,0,0,0,0, Kağıthane,Seyrantepe Mahallesi
